"event.count","analyte_abbr","treatment","block","method.name","result","duplicate"
"Irrigation 1","NO2","CT","1","Grab Sample",11.4673721112139,FALSE
"Irrigation 1","NO2","CT","1","Grab Sample",10.5821650550032,TRUE
"Irrigation 2","NO2","CT","1","Grab Sample",9.60952150882226,FALSE
"Irrigation 2","NO2","CT","1","Grab Sample",9.8926422248651,TRUE
"Irrigation 3","NO2","CT","1","Grab Sample",10.7130456660001,FALSE
"Irrigation 3","NO2","CT","1","Grab Sample",9.40555785537692,TRUE
"Irrigation 4","NO2","CT","1","Grab Sample",9.24775484690218,FALSE
"Irrigation 4","NO2","CT","1","Grab Sample",9.04957754610363,TRUE
"Irrigation 5","NO2","CT","1","Grab Sample",7.2531786318885,FALSE
"Irrigation 5","NO2","CT","1","Grab Sample",9.38039744415691,TRUE
"Irrigation 1","OP","CT","1","Grab Sample",0.12678317278657,FALSE
"Irrigation 1","OP","CT","1","Grab Sample",0.151080297298067,TRUE
"Irrigation 2","OP","CT","1","Grab Sample",0.135677784580588,FALSE
"Irrigation 2","OP","CT","1","Grab Sample",0.128564328458652,TRUE
"Irrigation 3","OP","CT","1","Grab Sample",0.123614649386817,FALSE
"Irrigation 3","OP","CT","1","Grab Sample",0.114840782865119,TRUE
"Irrigation 4","OP","CT","1","Grab Sample",0.10397731692068,FALSE
"Irrigation 4","OP","CT","1","Grab Sample",0.102368284925346,TRUE
"Irrigation 5","OP","CT","1","Grab Sample",0.0968793030464734,FALSE
"Irrigation 5","OP","CT","1","Grab Sample",0.111085541410399,TRUE
"Irrigation 1","TKN","CT","1","Grab Sample",6.73574933383644,FALSE
"Irrigation 1","TKN","CT","1","Grab Sample",6.58115446711193,TRUE
"Irrigation 2","TKN","CT","1","Grab Sample",5.14291845568054,FALSE
"Irrigation 2","TKN","CT","1","Grab Sample",7.45908636678627,TRUE
"Irrigation 3","TKN","CT","1","Grab Sample",5.15003518446732,FALSE
"Irrigation 3","TKN","CT","1","Grab Sample",4.43942213619791,TRUE
"Irrigation 4","TKN","CT","1","Grab Sample",6.26875544238583,FALSE
"Irrigation 4","TKN","CT","1","Grab Sample",6.15797213259939,TRUE
"Irrigation 5","TKN","CT","1","Grab Sample",5.66432613099707,FALSE
"Irrigation 5","TKN","CT","1","Grab Sample",3.81570202675992,TRUE
"Irrigation 1","TP","CT","1","Grab Sample",9.95722121376999,FALSE
"Irrigation 1","TP","CT","1","Grab Sample",9.86199289617622,TRUE
"Irrigation 2","TP","CT","1","Grab Sample",8.40683612053311,FALSE
"Irrigation 2","TP","CT","1","Grab Sample",8.38015213698693,TRUE
"Irrigation 3","TP","CT","1","Grab Sample",8.42794891512665,FALSE
"Irrigation 3","TP","CT","1","Grab Sample",8.43448016075362,TRUE
"Irrigation 4","TP","CT","1","Grab Sample",7.68312307573691,FALSE
"Irrigation 4","TP","CT","1","Grab Sample",7.75100250526329,TRUE
"Irrigation 5","TP","CT","1","Grab Sample",7.01584244865316,FALSE
"Irrigation 5","TP","CT","1","Grab Sample",7.00192455689616,TRUE
"Irrigation 1","EC","CT","1","Grab Sample",1.02562283194245,FALSE
"Irrigation 1","EC","CT","1","Grab Sample",1.18764340182964,TRUE
"Irrigation 2","EC","CT","1","Grab Sample",0.966379600724351,FALSE
"Irrigation 2","EC","CT","1","Grab Sample",0.722734814615932,TRUE
"Irrigation 3","EC","CT","1","Grab Sample",0.925682016172717,FALSE
"Irrigation 3","EC","CT","1","Grab Sample",0.858602758865889,TRUE
"Irrigation 4","EC","CT","1","Grab Sample",0.769615765984251,FALSE
"Irrigation 4","EC","CT","1","Grab Sample",0.904569875303162,TRUE
"Irrigation 5","EC","CT","1","Grab Sample",0.72642520459088,FALSE
"Irrigation 5","EC","CT","1","Grab Sample",0.873847574828232,TRUE
"Irrigation 1","NO3","CT","1","Grab Sample",0.475568391759468,FALSE
"Irrigation 1","NO3","CT","1","Grab Sample",0.371060819547808,TRUE
"Irrigation 2","NO3","CT","1","Grab Sample",0.331016388416092,FALSE
"Irrigation 2","NO3","CT","1","Grab Sample",0.364529875909516,TRUE
"Irrigation 3","NO3","CT","1","Grab Sample",0.437029281782295,FALSE
"Irrigation 3","NO3","CT","1","Grab Sample",0.376869594455623,TRUE
"Irrigation 4","NO3","CT","1","Grab Sample",0.38795650867398,FALSE
"Irrigation 4","NO3","CT","1","Grab Sample",0.316255278447957,TRUE
"Irrigation 5","NO3","CT","1","Grab Sample",0.338279340669289,FALSE
"Irrigation 5","NO3","CT","1","Grab Sample",0.316220700734845,TRUE
"Irrigation 1","pH","CT","1","Grab Sample",0.201758225163273,FALSE
"Irrigation 1","pH","CT","1","Grab Sample",0.222159592562774,TRUE
"Irrigation 2","pH","CT","1","Grab Sample",0.172944073548046,FALSE
"Irrigation 2","pH","CT","1","Grab Sample",0.198501611829076,TRUE
"Irrigation 3","pH","CT","1","Grab Sample",0.194157887124442,FALSE
"Irrigation 3","pH","CT","1","Grab Sample",0.185336181997128,TRUE
"Irrigation 4","pH","CT","1","Grab Sample",0.158888475036849,FALSE
"Irrigation 4","pH","CT","1","Grab Sample",0.161006033309486,TRUE
"Irrigation 5","pH","CT","1","Grab Sample",0.140849578524821,FALSE
"Irrigation 5","pH","CT","1","Grab Sample",0.162286281698851,TRUE
"Irrigation 1","TSS","CT","1","Grab Sample",1351.03310630922,FALSE
"Irrigation 1","TSS","CT","1","Grab Sample",1410.45118697905,TRUE
"Irrigation 2","TSS","CT","1","Grab Sample",1269.61321469049,FALSE
"Irrigation 2","TSS","CT","1","Grab Sample",1131.64505335752,TRUE
"Irrigation 3","TSS","CT","1","Grab Sample",900.417804573884,FALSE
"Irrigation 3","TSS","CT","1","Grab Sample",1057.15619963685,TRUE
"Irrigation 4","TSS","CT","1","Grab Sample",1312.7936439276,FALSE
"Irrigation 4","TSS","CT","1","Grab Sample",1549.26183543079,TRUE
"Irrigation 5","TSS","CT","1","Grab Sample",933.069054569507,FALSE
"Irrigation 5","TSS","CT","1","Grab Sample",1389.0719365837,TRUE
"Irrigation 1","TDS","CT","1","Grab Sample",718.382779508957,FALSE
"Irrigation 1","TDS","CT","1","Grab Sample",669.469921906434,TRUE
"Irrigation 2","TDS","CT","1","Grab Sample",627.699042617685,FALSE
"Irrigation 2","TDS","CT","1","Grab Sample",570.234494553962,TRUE
"Irrigation 3","TDS","CT","1","Grab Sample",531.032708611945,FALSE
"Irrigation 3","TDS","CT","1","Grab Sample",630.836447483797,TRUE
"Irrigation 4","TDS","CT","1","Grab Sample",563.879237654835,FALSE
"Irrigation 4","TDS","CT","1","Grab Sample",542.34891909725,TRUE
"Irrigation 5","TDS","CT","1","Grab Sample",494.827092902026,FALSE
"Irrigation 5","TDS","CT","1","Grab Sample",584.050686478545,TRUE
"Irrigation 1","NO2","MT","1","Grab Sample",11.0076570507612,FALSE
"Irrigation 1","NO2","MT","1","Grab Sample",10.6002425144681,TRUE
"Irrigation 2","NO2","MT","1","Grab Sample",9.18556135345094,FALSE
"Irrigation 2","NO2","MT","1","Grab Sample",7.28286822333288,TRUE
"Irrigation 3","NO2","MT","1","Grab Sample",9.05503456930964,FALSE
"Irrigation 3","NO2","MT","1","Grab Sample",8.23406154778966,TRUE
"Irrigation 4","NO2","MT","1","Grab Sample",8.83424370554888,FALSE
"Irrigation 4","NO2","MT","1","Grab Sample",6.71635477426657,TRUE
"Irrigation 5","NO2","MT","1","Grab Sample",7.33383111048774,FALSE
"Irrigation 5","NO2","MT","1","Grab Sample",5.71988467464816,TRUE
"Irrigation 1","OP","MT","1","Grab Sample",0.124645773209978,FALSE
"Irrigation 1","OP","MT","1","Grab Sample",0.130040624189331,TRUE
"Irrigation 2","OP","MT","1","Grab Sample",0.109601493787921,FALSE
"Irrigation 2","OP","MT","1","Grab Sample",0.0973373556102924,TRUE
"Irrigation 3","OP","MT","1","Grab Sample",0.106410008101202,FALSE
"Irrigation 3","OP","MT","1","Grab Sample",0.0849098484423855,TRUE
"Irrigation 4","OP","MT","1","Grab Sample",0.0908025191848619,FALSE
"Irrigation 4","OP","MT","1","Grab Sample",0.0994462357188631,TRUE
"Irrigation 5","OP","MT","1","Grab Sample",0.0884089433649915,FALSE
"Irrigation 5","OP","MT","1","Grab Sample",0.0916254989634151,TRUE
"Irrigation 1","TKN","MT","1","Grab Sample",5.5946047512993,FALSE
"Irrigation 1","TKN","MT","1","Grab Sample",6.9330893587151,TRUE
"Irrigation 2","TKN","MT","1","Grab Sample",3.92246185182735,FALSE
"Irrigation 2","TKN","MT","1","Grab Sample",4.30643961320031,TRUE
"Irrigation 3","TKN","MT","1","Grab Sample",6.26488972513746,FALSE
"Irrigation 3","TKN","MT","1","Grab Sample",4.26323058627965,TRUE
